index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp
47,Pavol Obertáš,5,8,2110.0,-1437.81,672.19,422.0,-179.72625,2,1055.0,NR,1659003098.783948
48,Zoltán Oslanec,3,2,700.0,-30.060000000000002,669.94,233.33333333333334,-15.030000000000001,2,350.0,NR,1659003098.790066
49,Peter Podbehlý,19,22,4594.29,-3714.59,879.6999999999998,241.80473684210526,-168.845,10,459.429,NR,1659003098.800555
50,Roman Porubský,2,2,3005.22,-115.0,2890.22,1502.61,-57.5,1,3005.22,NR,1659003098.806141
51,Eugen Szabó,1,0,500.0,0.0,500.0,500.0,-1.0,1,500.0,NR,1659003098.814232
52,Tibor Tóth,2,7,5000.0,-1554.04,3445.96,2500.0,-222.00571428571428,1,5000.0,NR,1659003098.821218
53,Peter Cibulka,29,31,17390.0,-5478.700000000001,11911.3,599.6551724137931,-176.73225806451615,20,869.5,ZA,1659003098.832124
54,Lucia Cukerová,1,0,100.0,0.0,100.0,100.0,-1.0,1,100.0,ZA,1659003098.838697
55,Mária Červeňová,3,10,1000.0,-912.01,87.99000000000001,333.3333333333333,-91.201,1,1000.0,ZA,1659003098.8445618
56,Peter Fiabáne,1,23,25000.0,-23383.910000000003,1616.0899999999965,25000.0,-1016.6917391304349,1,25000.0,ZA,1659003098.850639
57,Igor Janckulík,5,18,25021.24,-6376.470000000001,18644.77,5004.2480000000005,-354.2483333333334,3,8340.413333333334,ZA,1659003098.857772
58,Ján Prílepok,1,0,500.0,0.0,500.0,500.0,-1.0,1,500.0,ZA,1659003098.867263
59,Ján Rzeszoto,3,0,230.0,0.0,230.0,76.66666666666667,-1.0,2,115.0,ZA,1659003098.8737411
60,Peter Slyško,2,0,20000.0,0.0,20000.0,10000.0,-1.0,1,20000.0,ZA,1659003098.878846
61,Stanislav Thomka,13,46,9760.0,-8728.17,1031.83,750.7692307692307,-189.7428260869565,5,1952.0,ZA,1659003098.883988
62,Peter Zverec,2,3,2003.0,-1003.0,1000.0,1001.5,-334.3333333333333,1,2003.0,ZA,1659003098.888854
63,Attila Agócs,0,8,0.0,-679.0,-679.0,-1.0,-84.875,0,-1.0,BB,1659003098.898311
