index,account_name,date,amount,currency,message,tx_type,vs,ss
0,Milan Pleva - Milpo,2022-08-25,-45.0,EUR,animacia loga team wolf,Platobný príkaz na úhradu / FIT 2.0 (EB),,
1,"GoMerch,s.r.o.",2022-08-25,-330.0,EUR,tricka team wolf,Platobný príkaz na úhradu / FIT 2.0 (EB),62200169,
2,"Callypso,s.r.o.",2022-08-16,-614.95,EUR,cukrovinky,Platobný príkaz na úhradu / FIT 2.0 (EB),07004,
3,Milan Pleva - Milpo,2022-08-03,-320.0,EUR,grafické práce,Platobný príkaz na úhradu / FIT 2.0 (EB),20220024,
4,,2022-07-31,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
5,,2022-07-31,-6.0,EUR,Poplatok za vedenie účtu,Poplatok,,
6,,2022-07-27,-2.0,EUR,Poplatok za zmenu nakladania,Poplatok,,
